Objects in Context,"Andrew Rabinovich, Andrea Vedaldi, Carolina Galleguillos, Eric Wiewiora, Serge Belongie, ",2007,242,Deep Randomly-Connected Conditional Random Fields For Image Segmentation,Food image analysis: The big data problem you can eat!,Quantifying the Contextual Separability of Visual Confusion,Temporal re-scoring vs. temporal descriptors for semantic indexing of videos,Voting conditional random fields for multi-label image classification,Improving Segmentation Boundaries with Nonparametric Image Parsing,Semantic-based indexing of fetal anatomies from 3-D ultrasound data using global/semi-local context and sequential sampling,Auto-context and its application to high-level vision tasks,Recognition by association via learning per-exemplar distances,Semantic texton forests for image categorization and segmentation,Closing the loop in scene interpretation,From appearance to context-based recognition: Dense labeling in small images,Scene understanding with discriminative structured prediction,Object categorization using co-occurrence location and appearance,Unsupervised learning of hierarchical spatial structures in images,Actions in context,What is the spatial extent of an object?,An empirical Bayes approach to contextual region classification,From contours to regions: An empirical evaluation,Towards total scene understanding: Classification annotation and segmentation in an automatic framework,Efficient scale space auto-context for image segmentation and labeling,Holistic context modeling using semantic co-occurrences,Stratified learning of local anatomical context for lung nodules in CT images,Semantic context modeling with maximal margin Conditional Random Fields for automatic image annotation,Efficiently selecting regions for scene understanding,Connecting modalities: Semi-supervised segmentation and annotation of images using unaligned text corpora,Exploiting hierarchical context on a large database of object categories,Multi-class object localization by combining local contextual interactions,Modeling mutual context of object and human pose in human-object interaction activities,Piecing together the segmentation jigsaw using context
Conditional Random Fields as Recurrent Neural Networks,"Shuai Zheng, Sadeep Jayasumana, Bernardino Romera-Paredes, Vibhav Vineet, Zhizhong Su, Dalong Du, Chang Huang, Philip H. S. Torr, ",2015,223,Joint Semantic Segmentation and Depth Estimation with Deep Convolutional Networks,Room Layout Estimation with Object and Material Attributes Information Using a Spherical Camera,Person Re-Identification by Optimally Organizing Multiple Similarity Measures,Semantic filtering for video stabilization,Biological entity relationship extraction method based on multiple kernel learning,Image semantic segmentation optimization by Conditional Random Field integrated with object clique potential,Conditional random fields incorporate convolutional neural networks for human eye sclera semantic segmentation,Real-Time Human Motion Capture with Multiple Depth Cameras,Dense Image Labeling Using Deep Convolutional Neural Networks,Bootstrapping Labelled Dataset Construction for Cow Tracking and Behavior Analysis,Research on Scene Parsing Algorithm Cascading Object Detection Network,Social LSTM: Human Trajectory Prediction in Crowded Spaces,Learning Deep Representations of Fine-Grained Visual Descriptions,A Hierarchical Deep Temporal Model for Group Activity Recognition,Monocular 3D Object Detection for Autonomous Driving,Deep Structured Scene Parsing by Learning with Image Descriptions,Object Contour Detection with a Fully Convolutional Encoder-Decoder Network,Learning to Co-Generate Object Proposals with a Deep Structured Network,Instance-Aware Semantic Segmentation via Multi-task Network Cascades,ScribbleSup: Scribble-Supervised Convolutional Networks for Semantic Segmentation,Feature Space Optimization for Semantic Video Segmentation,Semantic Object Parsing with Local-Global Long Short-Term Memory,Efficient Piecewise Training of Deep Structured Models for Semantic Segmentation,Learning Transferrable Knowledge for Semantic Segmentation with Deep Convolutional Neural Network,The Cityscapes Dataset for Semantic Urban Scene Understanding,Gaussian Conditional Random Field Network for Semantic Segmentation,Semantic Segmentation with Boundary Neural Fields,DAG-Recurrent Neural Networks for Scene Labeling,Attention to Scale: Scale-Aware Semantic Image Segmentation,Iterative Instance Segmentation
Deep visual-semantic alignments for generating image descriptions,"Andrej Karpathy, Li Fei-Fei, ",2015,212,Deep Learning Applications in Medical Image Analysis,Predicting the Risk of Heart Failure With EHR Sequential Data Modeling,Agree to disagree: Improving disagreement detection with dual GRUs,Learning data-efficient hierarchical features for robotic graspable object recognition,ECO: Entity-level captioning in context,Trivia quiz mining using probabilistic knowledge,Binary convolutional neural network on RRAM,Training low bitwidth convolutional neural network on RRAM,A survey on social image understanding,PinterNet: A thematic label curation tool for large image datasets,Natural Language Access to Video Databases,Visual attention based on long-short term memory model for image caption generation,Convolutional neural network on neural compute stick for voxelized point-clouds classification,Deep semantic understanding of high resolution remote sensing image,Synthetic Viewpoint Prediction,Learning to Associate Words and Images Using a Large-Scale Graph,Short-term memory with read-only unit in neural image caption generator,Neural Module Networks,Learning Deep Representations of Fine-Grained Visual Descriptions,Multi-cue Zero-Shot Learning with Strong Supervision,A Hierarchical Deep Temporal Model for Group Activity Recognition,Aggregating Image and Text Quantized Correlated Components,Deep Structured Scene Parsing by Learning with Image Descriptions,End-to-End People Detection in Crowded Scenes,Recurrent Face Aging,Learning to Read Chest X-Rays: Recurrent Neural Cascade Model for Automated Image Annotation,What Value Do Explicit High Level Concepts Have in Vision to Language Problems?,Learning Structured Inference Neural Networks with Label Relations,Predicting Motivations of Actions by Leveraging Text,Fashion Style in 128 Floats: Joint Ranking and Classification Using Weak Data for Feature Extraction
Localizing and segmenting text in images and videos,"R. Lienhart, A. Wernicke, ",2002,206,Fast Uyghur text detection in videos based on learning of baseline feature,A comprehensive video text localization system based on stroke filter,Photo Time-Stamp Recognition Based on Particle Swarm Optimization,Video Text extraction and recognition: A survey,A study on text detection techniques of printed documents,Automatic text detection using multi-layer color quantization in complex color images,Integrating co-training and recognition for text detection,Matching Faces with Textual Cues in Soccer Videos,Robust Text Stroke Extraction from Video,A Real-Time Score Detection and Recognition Approach for Broadcast Basketball Video,Coarse-to-fine video text detection,Directional correlation analysis of local Haar binary pattern for text detection,Confusion network based Video OCR post-processing approach,A novel text detection and localization method based on corner response,A hybrid text segmentation approach,An integration text extraction approach in video frame,The fast stroke filter,A Method of Text Segmentation from Scanned Image with Complex Background,A robust system for text extraction in video,Recognition of Steel Billet Image with Different Orientations in Production Line,A robust video text extraction method based on text traversing line and stroke connectivity,Text detection in images based on unsupervised classification of high-frequency wavelet coefficients,A Robust Split-and-Merge Text Segmentation Approach for Images,Detecting Video Texts Using Spatial-Temporal Wavelet Transform,Video caption duration extraction,Real-Time Scene Text Detection Based on Stroke Model,Caption Localization and Detection for News Videos Using Frequency Analysis and Wavelet Features,AViTExt: Automatic Video Text Extraction; A new Approach for video content indexing Application,Text extraction algorithm under background image using wavelet transforms,An Efficient Video Text Recognition System
Multimedia content analysis-using both audio and visual clues,"Yao Wang, Zhu Liu, Jin-Cheng Huang, ",2000,190,Semantic indexing of multimedia documents,Region-of-importance detection based on fusion of audio and video,Multifeature speech/music discrimination based on mid-term level statistics and supervised classifiers,A hierarchical and multi-modal based algorithm for lead detection and news program narrative parsing,Boosting biomedical images indexing,A Statistical Framework for Video Skimming Based on Logical Story Units and Motion Activity,Speaker Segmentation of Interviews Using Integrated Video and Audio Change Detectors,Practical Realization of the Content-Based Image Retrieval System Using Sketch and Example,Retrieval of video story units by Markov entropy rate,Scalable indexing of HD Video,Unsupervised scene detection in Olympic video using multi-modal chains,Periodic human motion description for sports video databases,An approach for video cut detection using bipartite graph matching as dissimilarity distance,Audiovisual Gunshot Event Recognition,Efficient high-dimensional indexing by superimposing space-partitioning schemes,Speech/Music Classification Using Occurrence Pattern of ZCR and STE,A universal and robust human skin color model using neural networks,Event detection using multimodal feature analysis,Video shot segmentation using fusion of SVD and mutual information features,Semantic multimedia analysis for content-adaptive video streaming,Movies genres classifier using neural network,Audiovisual video characterization using audio watermarking scheme,A Rotation and Translation Invariant Algorithm for Cut Detection Using Bipartite Graph Matching,Music Part Segmentation in Music TV Programs Based on Chroma Vector Analysis,Medical images indexing and retrieval,Educational documentary video segmentation and access through combination of visual audio and text understanding,Audiovisual Fusion: Challenges and New Approaches,A gene expression programming approach for evolving multi-class image classifiers,Audio fingerprinting based on normalized spectral subband moments,Threshold Learning from Samples Drawn from the Null Hypothesis for the Generalized Likelihood Ratio CUSUM Test
Automatic Target Recognition: State of the Art Survey,"Bir Bhanu, ",1986,184,A gray-level threshold selection method based on maximum entropy principle,Inside front cover,A measure of the information gain attributable to cueing,Advanced in-plane rotation-invariant correlation filters,Pattern representations and syntactic classification of radar measurements of commercial aircraft,Fusion of intelligent agents for the detection of aircraft in SAR images,Image-enhanced estimation methods,General-purpose optical pattern recognition image processors,Image understanding research for automatic target recognition,Dynamic-scene and motion analysis using passive sensors I. A qualitative approach,A new approach to automatic target recognition,Classification of radar targets using synthetic neural networks,Dim target detection using high order correlation method,A sequential detection approach to target tracking,Adaptive image segmentation using genetic and hybrid search methods,Model-based segmentation of FLIR images,Ship target recognition using low resolution radar and neural networks,Predicting an upper bound on SAR ATR performance,A neural network filter to detect small targets in high clutter backgrounds,Detection of mines and minelike targets using principal component and neural-network methods,Survey of neural network technology for automatic target recognition,A new criterion for automatic multilevel thresholding,Gabor wavelet representation for 3-D object recognition,Probe-based automatic target recognition in infrared imagery,Automatic target recognition by matching oriented edge pixels,Detection filters and algorithm fusion for ATR,Automatic target recognition organized via jump-diffusion algorithms,Automatic target recognition using a feature-decomposition and data-decomposition modular neural network,Feature-enhanced synthetic aperture radar image formation based on nonquadratic regularization,Automatic Target Recognition in Synthetic Aperture Radar Imagery: A State-of-the-Art Review
Learning Deconvolution Network for Semantic Segmentation,"Hyeonwoo Noh, Seunghoon Hong, Bohyung Han, ",2015,170,Joint Semantic Segmentation and Depth Estimation with Deep Convolutional Networks,V-Net: Fully Convolutional Neural Networks for Volumetric Medical Image Segmentation,Tree-Wise Discriminative Subtree Selection for Texture Image Labeling,Background subtraction using encoder-decoder structured convolutional neural network,A deep learning model for predicting transcription factor binding location at single nucleotide resolution,Generative convolutional networks for latent fingerprint reconstruction,Iris and periocular recognition in arabian race horses using deep convolutional neural networks,River segmentation for flood monitoring,Semantic motion segmentation for urban dynamic scene understanding,Dense Image Labeling Using Deep Convolutional Neural Networks,The Ciona17 Dataset for Semantic Segmentation of Invasive Species in a Marine Aquaculture Environment,Cascaded Interactional Targeting Network for Egocentric Video Analysis,Object Contour Detection with a Fully Convolutional Encoder-Decoder Network,Multi-scale Patch Aggregation (MPA) for Simultaneous Detection and Segmentation,ScribbleSup: Scribble-Supervised Convolutional Networks for Semantic Segmentation,Efficient Piecewise Training of Deep Structured Models for Semantic Segmentation,Learning Transferrable Knowledge for Semantic Segmentation with Deep Convolutional Neural Network,Gaussian Conditional Random Field Network for Semantic Segmentation,The SYNTHIA Dataset: A Large Collection of Synthetic Images for Semantic Segmentation of Urban Scenes,Attention to Scale: Scale-Aware Semantic Image Segmentation,Recurrent Attentional Networks for Saliency Detection,Understanding RealWorld Indoor Scenes with Synthetic Data,Learning Multi-domain Convolutional Neural Networks for Visual Tracking,Semantic Image Segmentation with Task-Specific Edge Detection Using CNNs and a Discriminatively Trained Domain Transform,Learning to Select Pre-Trained Deep Representations with Bayesian Evidence Framework,Bottom-Up and Top-Down Reasoning with Hierarchical Rectified Gaussians,A Deeper Look at Saliency: Feature Contrast Semantics and Beyond,DHSNet: Deep Hierarchical Saliency Network for Salient Object Detection,Learning Temporal Regularity in Video Sequences,Surveillance Video Parsing with Single Frame Supervision
Spatially Coherent Latent Topic Model for Concurrent Segmentation and Classification of Objects and Scenes,"Liangliang Cao, Li Fei-Fei, ",2007,150,Common visual pattern discovery and search,Text-Aided Image Classification: Using Labeled Text from Web to Help Image Classification,Simultaneous Object Recognition and Localization in Image Collections,Contextual-LDA: A Context Coherent Latent Topic Model for Mining Large Corpora,Multi-scale Spatial Topic Models for scene recognition,Unsupervised learning of probabilistic object models (POMs) for object classification segmentation and recognition,Combining appearance models and Markov Random Fields for category level object segmentation,Learning coupled conditional random field for image decomposition with application on object categorization,Connected Segmentation Tree — A joint representation of region layout and hierarchy,Unsupervised feature optimization (UFO): Simultaneous selection of multiple features with their detection parameters,Half-integrality based algorithms for cosegmentation of images,Contextual decomposition of multi-label images,Towards total scene understanding: Classification annotation and segmentation in an automatic framework,Simultaneous image classification and annotation,Nonparametric Label-to-Region by search,Figure-ground segmentation improves handled object recognition in egocentric video,Connecting modalities: Semi-supervised segmentation and annotation of images using unaligned text corpora,Spatial-DiscLDA for visual recognition,Boundary preserving dense local regions,Object cosegmentation,Learning better image representations using ‘flobject analysis’,Multi-class cosegmentation,Learning structural element patch models with hierarchical palettes,Context aware topic model for scene recognition,Topical Video Object Discovery from Key Frames by Modeling Word Co-occurrence Prior,A Thousand Frames in Just a Few Words: Lingual Description of Videos through Latent Topics and Sparse Object Stitching,Accurate Localization of 3D Objects from RGB-D Data Using Segmentation Hypotheses,Weakly Supervised Learning of Mid-Level Features with Beta-Bernoulli Process Restricted Boltzmann Machines,Saliency Guided Dictionary Learning for Weakly-Supervised Image Parsing,Improving Interpretability of Deep Neural Networks with Semantic Information
Method for segmenting chest CT image data using an anatomical model: preliminary results,"M. S. Brown, M. F. McNitt-Gray, N. J. Mankovich, J. G. Goldin, J. Hiller, L. S. Wilson, D. R. Aberie, ",1997,146,Hybrid lung segmentation in chest CT images for computer-aided diagnosis,Automatic detection of ground glass opacity from the thoracic MDCT images by using density features,Automatic detection of GGO candidate regions employing four statistical features on thoracic MDCT image,Automatic Detection of GGO Candidate Regions by Using Artificial Neural Networks from Thoracic MDCT Images,Automatic lung segmentation in CT images using watershed transform,Robust segmentation of lung tissue in chest CT scanning,A new approach for automatic analysis of 3D low dose CT images for accurate monitoring the detected lung nodules,Automatic extraction of ground-glass opacity shadows on CT images of the thorax by correlation between successive slices,Lung segmentation in CT for thoracic PET-CT registration through visual study,Automatic segmentation of the lungs using multiple active contours and outlier model,Automatic segmentation of the lungs using robust level sets,Effectual lung segmentation for CAD systems using CT scan images,Detection of bronchovascular pairs on HRCT lung images through relational learning,Promising results for early diagnosis of lung cancer,Interactively learning a patient specific k-nearest neighbor classifier based on confidence weighted samples,Performance evaluation system for automated lung segmentation system using HRCT Thorax images,Multi-view learning for bronchovascular pair detection,Optimizing lung volume segmentation by texture classification,A novel method for identification of COPD in inspiratory and expiratory states of CT images,Application of Artificial Neural Network in identification of lung diseases,A CAD System for Lung Nodule Detection based on an Anatomical Model and a Fuzzy Neural Network,Potential of Computer-Aided Diagnosis to Improve CT Lung Cancer Screening,3-D Lung Segmentation by Incremental Constrained Nonnegative Matrix Factorization,Automated segmentation of lung field in HRCT images using active shape model,Database design and implementation for quantitative image analysis research,Toward automated segmentation of the pathological lung in CT,Atlas-driven lung lobe segmentation in volumetric X-ray CT images,Computer analysis of computed tomography scans of the lung: a survey,Controlling Familywise Error Rate for Matched Subspace Detection in Dynamic FDG PET,Robust 3-D Airway Tree Segmentation for Image-Guided Peripheral Bronchoscopy
Semiautomatic segmentation and tracking of semantic video objects,"Chuang Gu, Ming-Chieh Lee, ",1998,145,Adaptive Search Window for Object Tracking in the Crowds using Undecimated Wavelet Packet Features,Video Object Tracking by Integrating Background Constructing and Motion Estimation,Adaptive classification-based articulation and tracking of video objects employing neural network retraining,Object based coding of video sequences at low bit rates using adaptively trained neural networks,Statistical approaches to tracking-based moving object extraction,Unsupervised semantic object segmentation of stereoscopic video sequences,Content-based retrieval of video sequences under partial occlusion,An interactive object segmentation system for MPEG video,A semantic video object tracking algorithm using three-step boundary refinement,A video object generation tool allowing friendly user interaction,Semi-automatic semantic object extraction for video coding,Partition-based image representation as basis for user-assisted segmentation,An improved video object tracking algorithm based on motion re-estimation,Semi-automatic video segmentation for object tracking,Tube-embodied gradient vector flow fields for unsupervised video object plane (VOP) segmentation,Motion image segmentation using 3-D watershed algorithm,Video object segmentation based on edge tracking,Partition projection in videos by global and local block-matching,A novel spatio-temporal video object segmentation algorithm,Semi-automatic semantic video object extraction by active contour model,Multi-visit of Kalman filtering for semantic object tracking,A novel block-based video segmentation algorithm,A framework for video representation and transcoding using appearance spaces,Video object plane extraction for surveillance applications,Fast multiple motion video segmentation diffser,Fast multiple motion video segmentation,A semiautomatic segmentation algorithm of multiple nonrigid moving objects in clutter background,A Bayesian approach to video object segmentation via merging 3D watershed volumes,A wavelet-based watershed image segmentation for VOP generation,Semantic object segmentation by a spatio-temporal MRF model
Modeling scenes with local descriptors and latent aspects,"P. Quelhas, F. Monay, J. -M. Odobez, D. Gatica-Perez, T. Tuytelaars, L. Van Gool, ",2005,145,Depth Estimation Via Stage Classification,A Study of Intra-Modal Association Rules for Visual Modality Representation,Multi-Level Kernel Machine for Scene Image Classification,Scene Recognition via Combining Information of Neighbors,Ensemble of multiple descriptors for automatic image annotation,Visual-semantic collaborative interactions in synergic system for scene modeling,Topic Models for Image Localization,Flower classification based on local and spatial visual cues,Modeling and Classifying Breast Tissue Density in Mammograms,Unsupervised Learning of Categories from Sets of Partially Matching Image Features,Using Multiple Segmentations to Discover Objects and their Extent in Image Collections,A Visual Vocabulary for Flower Classification,Beyond Bags of Features: Spatial Pyramid Matching for Recognizing Natural Scene Categories,Region Classification with Markov Field Aspect Models,Learning Color Names from Real-World Images,A Topic-Motion Model for Unsupervised Video Object Discovery,Unsupervised Learning of Hierarchical Semantics of Objects (hSOs),Fusing Local Image Descriptors for Large-Scale Image Retrieval,Scene classification with low-dimensional semantic spaces and weak supervision,Annotating collections of photos using hierarchical event and scene models,Unsupervised discovery of visual object class hierarchies,Decomposition discovery and detection of visual categories using topic models,Shape discovery from unlabeled image collections,Linear spatial pyramid matching using sparse coding for image classification,Modeling images as mixtures of reference images,Simultaneous image classification and annotation,Learning semantic visual vocabularies using diffusion distance,Image categorization by learning with context and consistency,Image categorization with spatial mismatch kernels,Topic regression multi-modal Latent Dirichlet Allocation for image annotation
"Object categorization using co-occurrence, location and appearance","Carolina Galleguillos, Andrew Rabinovich, Serge Belongie, ",2008,144,Bag-of-Visual-Phrases via Local Contexts,Quantifying the Contextual Separability of Visual Confusion,Cross-media cloud computing,Voting conditional random fields for multi-label image classification,Visual-semantic collaborative interactions in synergic system for scene modeling,Improving Segmentation Boundaries with Nonparametric Image Parsing,An empirical study of context in object detection,Pose estimation for category specific multiview object localization,Holistic context modeling using semantic co-occurrences,Understanding images of groups of people,Multiple object detection by sequential monte carlo and Hierarchical Detection Network,Object separation in x-ray image sets,Reading between the lines: Object localization using implicit cues from image tags,Exploiting hierarchical context on a large database of object categories,Multi-class object localization by combining local contextual interactions,Object-graphs for context-aware category discovery,Piecing together the segmentation jigsaw using context,Baby talk: Understanding and generating simple image descriptions,Using global bag of features models in random fields for joint categorization and segmentation of objects,A hierarchical conditional random field model for labeling and segmenting images of street scenes,Efficient inference for fully-connected CRFs with stationarity,Learning object relationships via graph-based context model,Automatic discovery of groups of objects for scene understanding,Contextual boost for pedestrian detection,A Higher-Order CRF Model for Road Network Extraction,Bringing Semantics into Focus Using Visual Abstraction,A Max-Margin Riffled Independence Model for Image Tag Ranking,An active search strategy for efficient object class detection,A Multi-level Contextual Model for Person Recognition in Photo Albums,Scene Graph Generation by Iterative Message Passing
Region-based representations of image and video: segmentation tools for multimedia services,"P. Salembier, F. Marques, ",1999,139,Haptic Access to Conventional 2D Maps for the Visually Impaired,Joint source-channel multistream coding and optical network adapter design for video over IP,Automatic model-based semantic object extraction algorithm,Improved techniques for automatic image segmentation,Constructing a videophone for the hearing impaired using MPEG-4 tools,Foreground object localization using a flooding algorithm based on inter-frame change and colour,The extraction of moving object in real-time Web-based video sequence,Region-Based Hierarchical Representation for Object Detection,Scalable indexing of HD Video,Video frame segmentation by using newton's law of gravity,Evolution analysis of Binary Partition Tree for hierarchical video simplified segmentation,A method for object-based color image retrieval,Strong image segmentation from a data-driven perspective: impossible?,Shadow-less segmentation of moving humans from surveillance video sequences,Robust segmentation and representation of foreground key regions in video sequences,Content based representation of colour image sequences,Video Segmentation and Compression using Hierarchies of Gaussian Mixture Models,Multiple View Region Matching as a Lagrangian Optimization Problem,Adaptive modulation in MIMO system under power and QoS constraints,Extension of the forward-backward motion compensation scheme for MPEG coded sequences: a sub-space approach,Object-based segmentation of moving sequences using multiple features,Object-Based Indexing of Compressed Video Content: From SD to HD Video,Distributed differential evolution algorithm for MAP estimation of MRF model for detecting moving objects,Generating video objects by multiple-view extensive partition lattice operators,Partition-based image representation as basis for user-assisted segmentation,Region-based color image indexing and retrieval,Semantic image segmentation using morphological tools,Object matching based on partition information,Image segmentation,Object recognition based on binary partition trees
