Further developments in LP-based optimal power flow,"O. Alsac, J. Bright, M. Prais, B. Stott, ",1990,272,Optimal power flow based on successive linear approximation of power flow equations,Optimal active OPF with FACTS devices by an innovative load-equivalent approach,Real-time implementation of optimal reactive power flow,The implementation of an energy brokerage system using linear programming,Optimal power flow emulation of interchange brokerage systems using linear programming,Features of a hybrid expert system for security enhancement,Network constrained security control using an interior point algorithm,Sensitivity-based reactive power control for voltage profile improvement,Implementation of the import optimizer function for Florida Power and Light,Reactive power optimization using fuzzy load representation,A direct nonlinear predictor-corrector primal-dual interior point algorithm for optimal power flows,Application of fuzzy sets to optimal reactive power planning with security constraints,Active-reactive coupling in optimal reactive dispatch: a solution via Karush-Kuhn-Tucker optimality conditions,Application of decomposition techniques to VAr planning: methodological and computational aspects,A simple two stage optimization algorithm for constrained power economic dispatch,A load flow and fuzzy linear programming based external network modeling approach,Static security in power system operation with fuzzy real load conditions,AI approach to optimal VAr control with fuzzy reactive loads,Effect of EMF on minimum cost power transmission,A hybrid tool to assist the operator in reactive power/voltage control and optimization,Linear programming based optimal power flow using second order sensitivities,Short-term generation scheduling with transmission and environmental constraints using an augmented Lagrangian relaxation,Optimization method for reactive power planning by using a modified simple genetic algorithm,OPF for reactive pricing studies on the NGC system,Fuzzy constraint enforcement and control action curtailment in an optimal power flow,A hybrid decoupled approach to optimal power flow,Application of interior point methods to power flow unsolvability,A methodology for probabilistic simultaneous transfer capability analysis,Critical cases in the optimal power flow,Remote cranking of steam electric stations
Hybrid constrained simulated annealing and genetic algorithms for nonlinear constrained optimization,"B. W. Wah, Yixin Chen, ",2001,5,Hybridizing Differential Evolution and Particle Swarm Optimization to Design Powerful Optimizers: A Review and Taxonomy,Hybrid Heuristics for Solving the Constraints Modeled High School Scheduling Problem,A novel memetic algorithm for constrained optimization,Application of a fuzzy neural network combined with a chaos genetic algorithm and simulated annealing to short-term load forecasting
Emotion Recognition from Text based on the Rough Set Theory and the Support Vector Machines,"Zhi Teng, Fuji Ren, Shingo Kuroiwa, ",2007,5,Business intelligence from online product review-a rough set based rule induction approach,Transformation of discriminative single-task classification into generative multi-task classification in machine learning context,The study on text emotional orientation based on a three-dimensional emotion space model
Linear programming optimal power flow utilizing a trust region method,"Anthony M. Giacomoni, Bruce F. Wollenberg, ",2010,5,An AC-QP optimal power flow algorithm considering wind forecast uncertainty,A sequential ℓ1 quadratic programming method for robust nonlinear optimal power flow solution,Multi-period AC-QP optimal power flow including storage,Solving Multiperiod OPF Problems Using an AC-QP Algorithm Initialized With an SOCP Relaxation,Optimal power flow solution using Modified Flower Pollination Algorithm
Change impact analysis for Natural Language requirements: An NLP approach,"Chetan Arora, Mehrdad Sabetzadeh, Arda Goknil, Lionel C. Briand, Frank Zimmer, ",2015,5,Semantically Enhanced Software Traceability Using Deep Learning Techniques,Aligning Requirements and Acceptance Tests via Automatically Generated Guidance,Supporting Change Impact Analysis Using a Recommendation System: An Industrial Case Study in a Safety-Critical Context,Automated Extraction and Clustering of Requirements Glossary Terms
Robust nonlinear model predictive controller design based on multi-scenario formulation,"Rui Huang, Lorenz T. Biegler, ",2009,5,Systematically manipulating T-cell signaling dynamics via multiple model informed open-loop controller design,Nonlinear programming strategies on high-performance computers,Sparse-Grid-Based Adaptive Model Predictive Control of HL60 Cellular Differentiation
Assessing Collaborative Process in CSCL with an Intelligent Content Analysis Toolkit,"Yanyan Li, Jing Wang, Jian Liao, Donglun Zhao, Ronghuai Huang, ",2007,5,An Analysis of Online Interaction Discourse in Knowledge Forum,Using Data Mining as a Strategy for Discovering User Roles in CSCL,Semantic Organization of Online Discussion Transcripts for Active Collaborative Learning,Special interest groups discovery and semantic navigation support within online discussion forums,Integrating Content Analysis and Social Network Analysis for analyzing Asynchronous Discussion Forum
MINLP formulation of optimal reactive power flow,"S. S. Sharif, J. H. Taylor, ",1997,5,Dynamic optimal reactive power flow,A hybrid genetic algorithm-interior point method for optimal reactive power flow,A real-time implementation of optimal reactive power flow,Real-time implementation of optimal reactive power flow
Application-Oriented Comparison and Evaluation of Six Semantic Similarity Measures Based on Wordnet,"Peng-yuan Liu, Tie-jun Zhao, Xiao-feng Yu, ",2006,5,Photo Context as a Bag of Words,Taxonomies and Ontologies in Web Semantic Applications:  The New Emerging Semantic Lexicon-Based Model,Integration of Data Warehouse and Unstructured Business Documents,Ontology-based Metadata Integration Approach for Learning Resource Interoperability,Internal Filtering Approach toward Efficiency Optimization of Matching Large Scale XML Schemas
Centralized Self-Healing Scheme for Electrical Distribution Systems,"Patricia L. Cavalcante, Juan Camilo L&oacute;pez, John F. Franco, Marcos J. Rider, Ariovaldo V. Garcia, Marcos R. R. Malveira, Luana L. Martins, Luiz Carlos M. Direito, ",2016,5,Smart fault handling in medium-voltage distribution grids,Flexible network operation,Agent-based distributed underfrequency load shedding,Optimization approach for the allocation of remote-controlled switches in real-scale electrical distribution systems,Optimal service restoration of power distribution networks considering voltage regulation,Online Reconfiguration of Active Distribution Networks for Maximum Integration of Distributed Generation,Distribution System Optimization on Graphics Processing Unit,Fault Detection Isolation and Service Restoration in Distribution Systems: State-of-the-Art and Future Trends,Distributed Self-Healing for Distribution Grids With Evolving Search Space
Day-Ahead Corrective Adjustment of FACTS Reactance: A Linear Programming Approach,"Mostafa Sahraei-Ardakani, Kory W. Hedman, ",2016,5,Alleviation of post-contingency overloads by SOCP based corrective control considering TCSC and MTDC,Impacts of communication limits on convergence of distributed DCOPF with flexible transmission,The link between power flow control technologies: Topology control and FACTS,A flow direction enforcing approach for economic dispatch with adjustable line impedance,Day-ahead preventive scheduling of power systems during natuaral hazards via stochastic optimization,Transfer Capability Improvement Through Market-Based Operation of Series FACTS Devices,Computationally Efficient Adjustment of FACTS Set Points in DC Optimal Power Flow With Shift Factor Structure,Real-Time Contingency Analysis With Corrective Transmission Switching,A Five-Level MILP Model for Flexible Transmission Network Planning Under Uncertainty: A Min–Max Regret Approach,The Interdependence Between Transmission Switching and Variable-Impedance Series FACTS Devices,An Enhanced Adaptive Phasor Power Oscillation Damping Approach With Latency Compensation for Modern Power Systems
Energy efficiency and performance management of parallel dataflow applications,"Simon Holmbacka, Erwan Nogues, Maxime Pelcat, S&eacute;bastien Lafond, Johan Lilius, ",2014,5,Energy aware software: Issues approaches and challenges,A formal approach to the mapping of tasks on an heterogenous multicore energy-aware architecture,Core Level Utilization for Achieving Energy Efficiency in Heterogeneous Systems,Energy Efficient Scheduling of Real Time Signal Processing Applications through Combined DVFS and DPM
What's hot in software engineering Twitter space?,"Abhishek Sharma, Yuan Tian, David Lo, ",2015,5,How Developers Document Pull Requests with External References,A Needle in a Haystack: What Do Twitter Users Say about Software?,Which One to Read? Factors Influencing the Usefulness of Online Reviews for RE,Harnessing Twitter to support serendipitous learning of developers
Peer selection and scheduling of H.264 SVC video over wireless networks,"Konstantinos Birkos, Christos Tselios, Tasos Dagiuklas, Stavros Kotsopoulos, ",2013,5,Virtual job management and scheduling for media services,On optimizing scalable video delivery over media aware mobile clouds,Measurement-based characterization of the 3.5 GHz channel for 5G-enabled IoT at complex industrial and office topologies
Web document text and images extraction using DOM analysis and natural language processing,"Parag Mulendra Joshi, Sam Liu, ",2009,5
Comparison of  $ell _{1}$ -Norm SVR and Sparse Coding Algorithms for Linear Regression,"Qingtian Zhang, Xiaolin Hu, Bo Zhang, ",2015,5,Low-Rank-Sparse Subspace Representation for Robust Regression,Robust Image Regression Based on the Extended Matrix Variate Power Exponential Distribution of Dependent Noise
Optimal rescheduling of real and reactive powers of generators for zonal congestion management based on FDR PSO,"E. Muneender, D. M. Vinod Kumar, ",2009,5,Improved demand controllability by grid reconfiguration for congestion management,Mitigation of congestion by generator rescheduling using Particle Swarm Optimization,Optimal re-dispatch of generator for congestion management using PSO,Transmission line congestion management in liberalized environment by modified artificial wolf group technique,Optimal dispatch of reactive power sources by using MVMO<sup>s</sup> optimization,Application of particle swarm optimisation for relieving congestion in deregulated power system
An Experimental Study on Vietnamese POS Tagging,"Oanh Thi Tran, Cuong Anh Le, Thuy Quang Ha, Quynh Hoang Le, ",2009,5,An Experimental Study on Vietnamese Speech Synthesis,An Integrated Approach Using Conditional Random Fields for Named Entity Recognition and Person Property Extraction in Vietnamese Text
Joint Base Station Association and Power Allocation for Uplink Sum-Power Minimization,"Krishna Chitti, Joachim Speidel, ",2013,5,MU-MIMO power control under statistical CSI and probabilistic constraints,Multi-user downlink resource allocation with per-base station power constraints,Multi-user uplink power control under imperfect-CSI and probabilistic constraints,Energy-efficient user association in downlink heterogeneous cellular networks,Energy-saving user association for uplink heterogeneous cellular networks
Transmission expansion planning using an ac model: Formulations and possible relaxations,"Hui Zhang, Gerald Thomas Heydt, Vijay Vittal, Hans D. Mittelmann, ",2012,5,Transmission expansion planning: A review,Transmission planning fundamentals: Models data skills needed and technical tools,MILP branch flow model for concurrent AC multistage transmission expansion and reactive power planning with security constraints,Transmission expansion planning using AC-based differential evolution algorithm,An Improved Network Model for Transmission Expansion Planning Considering Reactive Power and Network Losses
Information Extraction as an Ontology Population Task and Its Application to Genic Interactions,"Alain-Pierre Manine, Erick Alphonse, Philippe Bessi&egrave;res, ",2008,5,An Ontology-Based Information Extraction (OBIE) Framework for Analyzing Initial Public Offering (IPO) Prospectus,Semi-automatic dictionary curation for domain-specific ontologies,On Semantic Techniques for Intelligent Computing
Usefulness of temporal information automatically extracted from news articles for topic tracking,"Pyung Kim, Sung Hyon Myaeng, ",2004,5
Towards building large-scale distributed systems for twitter sentiment analysis,"Vinh Ngoc Khuc, Chaitanya Shivade, Rajiv Ramnath, Jay Ramanathan, ",2012,5
Direct trajectory optimization by a Chebyshev pseudospectral method,"F. Fahroo, I. M. Ross, ",2000,5,Pseudospectral method for optimal motion planning of a rigid underactuated spacecraft,A numerical algorithm to solve a class of multi-point boundary value problems,A multiobjective trajectory optimisation method for planning environmentally efficient trajectories,Multiresolution-based direct trajectory optimization
Mining Bug Repositories--A Quality Assessment,"Philipp Schugerl, Juergen Rilling, Philippe Charland, ",2008,5,Towards improving bug tracking systems with game mechanisms,A Quality Perspective of Software Evolvability Using Semantic Analysis,Survey Reproduction of Defect Reporting in Industrial Software Development
Joint routing and topology formation in multihop UWB networks,"Qi Wu, Yongqiang Xiong, Qian Zhang, Zihua Guo, Xiang-Gen Xia, Zhongcheng Li, ",2006,5,Viability of concurrent transmission and reception for UWB radios over multipath channels,The end-to-end rate control in multiple-hop wireless networks: Cross-layer formulation and optimal allocation,Network Planning with Minimum Interference for UWB Networks,A security protocol with minimum interference for UWB and WiFi networks,Joint Topology Control and Stable Routing Based on PU Prediction for Multihop Mobile Cognitive Networks,QoS Support over UWB Mesh Networks
