Particle swarm optimization,"J. Kennedy, R. Eberhart, ",1995,14195,Ultra wideband antenna design using discrete Green's functions in conjunction with binary particle swarm optimisation,Multi-static radar power allocation for multi-stage stochastic task of missile interception,Control of IPM Synchronous Generator for Maximum Wind Power Generation Considering Magnetic Saturation,Real Time Implementation of an Artificial Immune System Based Controller for a DSTATCOM in an Electric Ship Power System,Hardware Implementation of an AIS-Based Optimal Excitation Controller for an Electric Ship,Particle swarm optimization - mass-spring system analogon,Use of intelligent-particle swarm optimization in electromagnetics,A novel ecological-biological-behavior praticle swarm optimization for Ackley's function,Improved Particle Swarm Optimization approach of PID controller design for machine tool positioning,A proposal for improved Particle Swarm Optimization,A novel building cooling load prediction based on SVR and SAPSO,Real-Time Face Reconstruction from a Single Depth Image,Learning to Navigate the Energy Landscape,Convergence of Vectors in Paired Comparison-based Interactive Differential Evolution for Creating Scent,Generation of Appropriate User Chord Development Based on Interactive Genetic Algorithm,Parallel Swarm Intelligence for VANETs Optimization,Improving Particle Swarm Optimization Algorithm for Distributed Sensing and Search,The particle swarm - explosion stability and convergence in a multidimensional complex space,A particle swarm optimization for reactive power and voltage control considering voltage security assessment,A modified DE: Population or generation based levy flight differential evolution (PGLFDE),Development of a Grey Wolf Optimizer Toolkit in LabVIEW<sup>™</sup>,Optimization of PID controller with first order noise filter,Training feedforward neural networks using hybrid flower pollination-gravitational search algorithm,Test case selection and prioritization using cuckoos search algorithm,Modeling identification of power plant thermal process based on PSO algorithm,Hammerstein and Wiener nonlinear models identification using a multimodal particle swarm optimizer,A particle swarm optimization approach for automatic diagnosis of PMSM stator fault,Modified particle swarm optimization algorithm for steelmaking charge plan with unknown charge number,A novel training algorithm in ANFIS structure,Adaptive Particle Swarm Optimization Algorithm for Power System Reactive Power Optimization
Normalized cuts and image segmentation,"Jianbo Shi, J. Malik, ",2000,4763,Salient object detection based on multi-scale super-pixels and saliency propagation,Locally linear representation for image clustering,Automatic marker generation for watershed segmentation of natural images,Robust low-rank image representations by deep matrix decompositions,Segmentation of SAR images using similarity ratios for generating and clustering superpixels,Video object segmentation with shape cue based on spatiotemporal superpixel neighbourhood,Image clustering using exponential discriminant analysis,Bhattacharyya distance-based irregular pyramid method for image segmentation,Local image descriptor based on spectral embedding,Graph clustering by congruency approximation,Scene text detection method based on the hierarchical model,Robust region-wise colour correction method for stereo matching,Random walks colour histogram modification for human tracking,Segmentation and semantic labelling of RGBD data with convolutional neural networks and surface fitting,Optimal PMU placement considering state estimation uncertainty and voltage controllability,Image segmentation using multilevel graph cuts and graph development using fuzzy rule-based system,Using macroscopic information in image segmentation,Annularcut: A graph-cut design for left ventricle segmentation from magnetic resonance images,New accelerated graph-based method of image segmentation applying minimum spanning tree,Adaptive image segmentation by using mean-shift and evolutionary optimisation,Human perception-based image segmentation using optimising of colour quantisation,Segmentation with saliency map using colour and depth images,Acquisition source identification through a blind image classification,Recent review on image clustering,Fully automatic figure-ground segmentation algorithm based on deep convolutional neural network and GrabCut,Saliency and depth-based unsupervised object segmentation,Segmentation of large images based on super-pixels and community detection in graphs,Image segmentation using a unified Markov random field model,Automatic choroid layer segmentation using normalized graph cut,Evolutionary clustering framework based on distance matrix for arbitrary-shaped data sets
User cooperation diversity. Part I. System description,"A. Sendonaris, E. Erkip, B. Aazhang, ",2003,4758
Mean shift: a robust approach toward feature space analysis,"D. Comaniciu, P. Meer, ",2002,4705
Rapid object detection using a boosted cascade of simple features,"P. Viola, M. Jones, ",2001,4689,Unsupervised 3D object recognition and reconstruction in unordered datasets,Scene Cut: Class-Specific Object Detection and Segmentation in 3D Scenes,Calibrating an Optical See-Through Rig with Two Non-overlapping Cameras: The Virtual Camera Framework,Constraint Integration for Multiview Pose Estimation of Humans with Self-Occlusions,Multi-user glasses free 3D display using an optical array,Free-hand gesture control with touchable virtual interface for human-3DTV interaction,Training-Based Object Recognition in Cluttered 3D Point Clouds,Detecting Objects in Scene Point Cloud: A Combinational Approach,Vision-Based Differential GPS: Improving VSLAM / GPS Fusion in Urban Environment with 3D Building Models,Robust Real-Time 3D Face Tracking from RGBD Videos under Extreme Pose Depth and Expression Variation,Visual tracking of human visitors under variable-lighting conditions for a responsive audio art installation,Cyber-Physical Signage Interacting With Gesture-Based Human–Machine Interfaces Through Mobile Cloud Computing,A Practical Animal Detection and Collision Avoidance System Using Computer Vision Technique,Development of Novel Lip-Reading Recognition Algorithm,Assisting Attraction Classification by Harvesting Web Data,Heart Rate Variability Extraction From Videos Signals: ICA vs. EVM Comparison,Improving the Detection of Noise Artifacts in Gravitational-Wave Data With a Classifier Graph,Learning-Based Saliency Detection of Face Images,Elliptical Higher-Order-Spectra Periocular Code,Feature-Based Resource Allocation for Real-Time Stereo Disparity Estimation,A Novel Technique for Robust and Fast Segmentation of Corneal Layer Interfaces Based on Spectral-Domain Optical Coherence Tomography Imaging,A Review and Analysis of Eye-Gaze Estimation Systems Algorithms and Performance Evaluation Methods in Consumer Platforms,Research on Automatic Parking Systems Based on Parking Scene Recognition,Face Feature Extraction: A Complete Review,Dataset Optimization for Real-Time Pedestrian Detection,A Fast Single-Image Dehazing Method Based on a Physical Model and Gray Projection,Auxiliary Loss Multimodal GRU Model in Audio-Visual Speech Recognition,Corrected Continuous Correlation Filter for Long-Term Tracking,Tailoring Model-Based Techniques to Facial Expression Interpretation,Multiple Parallel Vision-Based Recognition in a Real-Time Framework for Human-Robot-Interaction Scenarios
Space-time block codes from orthogonal designs,"V. Tarokh, H. Jafarkhani, A. R. Calderbank, ",1999,4625,Computationally efficient linear predictor for communication over doubly selective fast-fading channel,On Performance of Space-Time Eigenbeam Coding,A QRD-Based Chase Decoding Algorithm for Quasi-Orthogonal Space-Time Block Code Systems,An Efficient Rate One STBC Scheme with 3 Transmit Antennas,Performance Comparison of Different Space-Time Block Codes Using A Single Receiver,A Novel Transmission Scheme with Relay Selection and HARQ in Decoded-and-Forward Mode of Cooperative Network,Error and Outage Performance of STBC MB-OFDM UWB,Space-Time Block Codes Assisted by Fast Turbo Codes,Special Property of Multiple-Trellis-Coded-Modulation Utilized for its Decoding,A Space Time Block Code from Quaternion Quasi-Orthogonal Design,Different Space-Time Modulation with Adaptive Loaded Eigen-Beamforming for Correlated Fading Channels,An Adaptive Space-Time Receiver for Time-Varying Channel with Imperfect Channel Estimation,Eigen-Beamforming Applied in STBC Multiplexing System,Outage probability of MIMO cognitive cooperative radio networks with multiple AF relays using orthogonal space-time block codes,Distributed Closed-Loop Quasi-Orthogonal Space Time Block Coding with four relay Nodes: overcoming Imperfect Synchronization,Link level performance analysis of adaptive MIMO-OFDM systems,Localization Algorithm Based on RSSI and Distance Geometry Constrain for Wireless Sensor Network,Ant-Colony Based Near-ML Block Decoder in Asynchronous Cooperative MIMO Systems Using a Linear Dispersion Structure,Efficient Iterative Decoding of Serially Concatenated Multiplexed Alamouti Codes,Is Transmit Beamforming Robust?,Linear Dispersion Codes for Asynchronous Cooperative MIMO Systems,Impact of Arbitrary Co-Channel MIMO Modes on Alamouti Coding under Path-Loss and Rayleigh Fading,Cooperative Diversity in Coded CDMA Systems over Frequency-Selective Fading Channels,Downlink Performance of a Multi-Carrier MIMO System in a Bursty Traffic Cellular Network,Eavesdropping-Resistant Space-Time Network Coding for Cooperative Communications,A Cross-Layer Architecture for Motion-Adaptive Video Transmission over MIMO Channels,On the Capacity of Multiple Cognitive Links through Common Relay under Spectrum-Sharing Constraints,OSTBC Transmission in MIMO AF Relay Systems with Keyhole and Spatial Correlation Effects,Space-Time Block Coded Transmission with Phase Feedback for Two-User MIMO-MAC,UKF Based Iterative Joint Channel Estimation for Uplink Two Dimensional Block Spread Wireless Networks
An Algorithm for Vector Quantizer Design,"Y. Linde, A. Buzo, R. Gray, ",1980,4342,Image retrieval based on histograms of EOPs and VQ indices,Efficient binary search space-structured VQ encoder applied to a line spectral frequency quantisation in G.729 standard,Index compression for vector quantisation using modified coding tree assignment scheme,Enhanced side match vector quantisation based on constructing complementary state codebook,New reversible full-embeddable information hiding method for vector quantisation indices based on locally adaptive complete coding list,High-quality initial codebook design method of vector quantisation using grouping strategy,Study on the consistency analysis between the prosody and the spectrum for Mandarin speech,Long-term intuitionistic fuzzy time series forecasting model based on vector quantisation and curve similarity measure,Detection of laryngeal function using speech and electroglottographic data,Morphological feature extraction for the classification of digital images of cancerous tissues,Vector quantization for compression of multichannel ECG,Mean-shape vector quantizer for ECG signal compression,Quality driven gold washing adaptive vector quantization and its application to ECG data compression,Multichannel ECG compression using multichannel adaptive vector quantization,Sequential and parallel neural network vector quantizers,Trellis-coded vector quantization,On convergence of Lloyd's method I,Entropy-constrained trellis-coded quantization,A vector quantizer for the Laplace source,Performance of entropy-constrained block transform quantizers,Joint design of block source codes and modulation signal sets,Vector quantization by deterministic annealing,Recursively indexed quantization of memoryless sources,Vector quantizers with direct sum codebooks,The root lattices as low bit rate vector quantizers,Trellis source code design as an optimization problem,Piecewise uniform vector quantizers,Vector quantization with complexity costs,Alphabet-constrained vector quantization,Universal schemes for sequential decision from individual data sequences
An application-specific protocol architecture for wireless microsensor networks,"W. B. Heinzelman, A. P. Chandrakasan, H. Balakrishnan, ",2002,4328
Active contours without edges,"T. F. Chan, L. A. Vese, ",2001,4319,Active contours driven by regularised gradient flux flows for image segmentation,Robust local–global SOM-based ACM,Robust active contours for fast image segmentation,Beta-divergence based two-phase segmentation model for synthetic aperture radar images,Illumination variation interference suppression in remote PPG using PLS and MEMD,Efficient algorithm for piecewise-smooth model with approximately explicit solutions,Active contours driven by novel fitting term for image segmentation,Active contours driven by novel LGIF energies for image segmentation,Identifying radiotherapy target volumes in brain cancer by image analysis,Dental radiographs and photographs in human forensic identification,Elastic strips normalisation model for higher iris recognition performance,Global variational method for fingerprint segmentation by three-part decomposition,Shape and appearance priors for level set-based left ventricle segmentation,Probabilistic shape-based segmentation method using level sets,Local feature fitting active contour for segmenting vessels in angiograms,Gradient descent with adaptive momentum for active contour models,Vertebral body segmentation using a probabilistic and universal shape model,Locally adaptive combining colour and depth for human body contour tracking using level set method,Multiplayer tracking system for short track speed skating,Automatic method for white matter lesion segmentation based on T1-fluid-attenuated inversion recovery images,Computer-aided mammogram diagnosis system using deep learning convolutional fully complex-valued relaxation neural network classifier,Fusion of structural and textural features for melanoma recognition,Neighbourhood weighted fuzzy c-means clustering algorithm for image segmentation,Active contour driven by local divergence energies for ultrasound image segmentation,Saliency-based localising active contour for automatic natural object segmentation,Annularcut: A graph-cut design for left ventricle segmentation from magnetic resonance images,Active contours with a joint and region-scalable distribution metric for interactive natural image segmentation,Active contours for image segmentation using complex domain-based approach,Fast localised active contour for inhomogeneous image segmentation,Minimisation of local within-class variance for image segmentation
Outline of a New Approach to the Analysis of Complex Systems and Decision Processes,"Lotfi A. Zadeh, ",1973,4133,A Kind of Learning Gain Design Method for Energy-Function-Based Iterative Learning Control,Multiple drug hemodynamic control by means of a supervisory-fuzzy rule-based adaptive control system: validation on a model,Multiple-drug hemodynamic control using fuzzy decision theory,Depth of anesthesia estimation and control [using auditory evoked potentials],A modular approach to intelligent control of a simulated jointed leg,Fuzzy-logic tools on tap for IC wafers,Fuzzy stochastic gradient decision feedback equalizer for VSB terrestrial HDTV broadcasting,Fuzzy Grading System,An educational tool for fuzzy logic-controlled BDCM,Construction risk assessment by linguistics,A Dempster-Shafer-based approach to compromise decision making with multiattributes applied to product selection,Fuzzy logic applications: Technological and strategic issues,Fuzzy assessment of machine flexibility,A fuzzy-logic-based approach to project selection,Fuzzy handling of measurement errors in instrumentation,Combined channel estimation and data decoding based on fuzzy logic,Fuzzy logic,Integration of fuzzy techniques in a CAD/CAM system,Fuzzy logic for scaling finite element solutions of electromagnetic fields,An artificial intelligence system for a complex electromagnetic field problem. I. Finite element calculations and fuzzy logic development,Integrated decision support system for environmental planning,Design of a fuzzy controller using input and output mapping factors,A referential scheme of fuzzy decision making and its neural network structure,Fuzzy-attribute graph with application to Chinese character recognition,Discrete event fuzzy airport control,A model for a rider-motorcycle system using fuzzy control,Two-layer multiple-variable fuzzy logic controller,A new approach to handling fuzzy decision-making problems,An approximate analogical reasoning approach based on similarity measures,Fuzzy qualitative simulation
Matching pursuits with time-frequency dictionaries,"S. G. Mallat, Zhifeng Zhang, ",1993,4109,Noise reduction in chaotic multi-dimensional time series using dictionary learning,Exact support recovery via orthogonal matching pursuit from noisy measurements,Perceptual orthogonal matching pursuit for speech sparse modelling,Blind iterative maximum likelihood-based frequency and transition time estimation for frequency hopping systems,Sparse channel estimation of pulse-shaping multiple-input–multiple-output orthogonal frequency division multiplexing systems with an approximate gradient l<sub>2</sub> – Sl<sub>0</sub> reconstruction algorithm,Packet loss recovery in audio multimedia streaming by using compressive sensing,Parallel algorithm implementation for multi-object tracking and surveillance,Action recognition from mutually incoherent pose bases in static image,Faulty feeder detection based on mixed atom dictionary and energy spectrum energy for distribution network,Effective two-step method for face hallucination based on sparse compensation on over-complete patches,Omni-gradient-based total variation minimisation for sparse reconstruction of omni-directional image,Tuned depth signal analysis on merged transform domain for view synthesis in free viewpoint systems,Sparse-induced similarity measure: mono-modal image registration via sparse-induced similarity measure,Simultaneous image fusion and denoising with adaptive sparse representation,Colour compressed sensing imaging via sparse difference and fractal minimisation recovery,Colour image steganography method based on sparse representation,Three-dimensional inverse synthetic aperture radar imaging based on compressive sensing,Radar high-resolution range profiles target recognition based on stable dictionary learning,Comparison of the acoustic performance and positioning accuracy of three kinds of planar partial discharge ultrasonic array sensors,Discrimination and identification between mainlobe repeater jamming and target echo by basis pursuit,Exploitation of antenna directivity for compressed indoor radar imaging with ghost suppression,Antenna placement optimisation for compressed sensing-based distributed MIMO radar,Extended orthogonal matching pursuit for robust and fast target localisation in multiple-input multiple-output radar,Compressive sensing via sparse difference and fractal and entropy recognition for mass spectrometry sensing data,New inequalities on sparse representation in pairs of bases,Sparse representation-based feature extraction combined with support vector machine for sense-through- foliage target detection and recognition,Matching pursuit for direction of arrival estimation in the presence of Gaussian noise and impulsive noise,Adaptive variable step algorithm for missing samples recovery in sparse signals,Entropic uncertainty inequalities on sparse representation,Union of low-rank subspaces detector
